Country,FIFA,IOC,ISO
Algeria,ALG,ALG,DZA
Antigua and Barbuda,ATG,ANT,ATG
Aruba,ARU,ARU,ABW
Bahrain,BHR,BRN,BHR
Bangladesh,BAN,BAN,BGD
Barbados,BRB,BAR,BRB
Belize,BLZ,BIZ,BLZ
British Virgin Islands,VGB,IVB,VGB
Burkina Faso,BFA,BUR,BFA
Central African Republic,CTA,CAF,CAF
Costa Rica,CRC,CRC,CRI
Croatia,CRO,CRO,HRV
El Salvador,SLV,ESA,SLV
Equatorial Guinea,EQG,GEQ,EQG
Germany,GER,GER,DEU
Greece,GRE,GRE,GRC
Guinea-Bissau,GNB,GBS,GNB
Indonesia,IDN,INA,IDN
Iran,IRN,IRI,IRN
Latvia,LVA,LAT,LVA
Lebanon,LIB,LBN,LBN
Libya,LBY,LBA,LBY
Malawi,MWI,MAW,MWI
Mongolia,MNG,MGL,MNG
Netherlands,NED,NED,NLD
Niger,NIG,NIG,NER
Nigeria,NGA,NGR,NGA
Paraguay,PAR,PAR,PRY
State of Palestine,PLE,PLE,PSE
Portugal,POR,POR,PRT
Saudi Arabia,KSA,KSA,SAU
Singapore,SIN,SGP,SGP
Slovenia,SVN,SLO,SVN
South Africa,RSA,RSA,ZAF
Sudan,SDN,SUD,SDN
Switzerland,SUI,SUI,CHE
Taiwan (Chinese Taipei),TPE,TPE,TWN
Trinidad and Tobago,TRI,TTO,TTO
Togo,TOG,TOG,TGO
U.S. Virgin Islands,VIR,ISV,VIR
Vietnam,VIE,VIE,VNM
